Price per m2 (dollars);LCI
49,453;0,841562429
52,01;0,841562429
23,77;0,805880177
24,086;0,7931268
51,951;0,7931268
52,643;0,7931268
53,423;0,7931268
80,014;0,7931268
50,008;0,7931268
50,01;0,7931268
50,009;0,7931268
52,771;0,7931268
70,268;0,7931268
151,039;0,7931268
112,479;0,7931268
66,718;0,7931268
269,846;0,7931268
62,791;0,7931268
256,961;0,768366136
114,422;0,768366136
62,546;0,712205001
61,502;0,784188624
67,385;0,784188624
72,48;0,784188624
61,796;0,784188624
60,509;0,784188624
53,877;0,784188624
56,04;0,784188624
52,42;0,784188624
53,229;0,784188624
51,68;0,784188624
51,054;0,784188624
31,117;0,784188624
35,262;0,784188624
59,046;0,784188624
59,933;0,784188624
60,453;0,784188624
50,108;0,784188624
57,155;0,784188624
58,727;0,735481106
56,589;0,735481106
31,181;0,735481106
57,768;0,735481106
0,866;0,735481106
31,217;0,735481106
31,739;0,735481106
139,457;0,762043338
144,126;0,762043338
80,983;0,762043338
197,227;0,762043338
30,755;0,762043338
83,392;0,762043338
41,012;0,762043338
29,849;0,762043338
31,467;0,762043338
30,949;0,762043338
32,931;0,762043338
30,516;0,762043338
31,26;0,762043338
30,546;0,762043338
31,052;0,762043338
31,211;0,762043338
28,427;0,762043338
33,481;0,762043338
116,829;0,758540881
61,682;0,758540881
70,716;0,758540881
49,656;0,758540881
67,298;0,758540881
152,936;0,758540881
66,018;0,758540881
72,748;0,758540881
128,875;0,826492304
28,955;0,72671393
30,186;0,72671393
31,002;0,72671393
30,63;0,72671393
30,999;0,72671393
31,447;0,72671393
33,459;0,72671393
31,272;0,72671393
31,421;0,72671393
51,164;0,735481106
50,38;0,735481106
30,841;0,735481106
30,815;0,735481106
30,435;0,735481106
30,972;0,735481106
56,66;0,735481106
57,174;0,735481106
57,265;0,735481106
57,795;0,735481106
60,839;0,735481106
32,2;0,762043338
53,038;0,762043338
72,561;0,72671393
30,289;0,72671393
50,927;0,762043338
48,873;0,762043338
30,802;0,762043338
30,978;0,72671393
67,774;0,72671393
25,332;0,637182249
51,797;0,637182249
53,793;0,637182249
123,194;0,818883732
70,376;0,756601227
83,437;0,771831762
23,789;0,771831762
57,073;0,771831762
23,455;0,771831762
26,34;0,771831762
49,835;0,771831762
93,176;0,771831762
91,846;0,87127552
79,21;0,87127552
24,711;0,8587199
57,638;0,8587199
58,22;0,8587199
59,727;0,8587199
55,076;0,8587199
54,436;0,8587199
55,132;0,8587199
25,938;0,8587199
51,362;0,8587199
156,578;0,825016079
98,335;0,825016079
94,299;0,825016079
78,391;0,825016079
81,876;0,825016079
69,687;0,825016079
82,919;0,825016079
68,343;0,825016079
23,572;0,825016079
24,338;0,825016079
57,119;0,825016079
56,377;0,825016079
56,992;0,825016079
101,124;0,825016079
59,586;0,825016079
51,47;0,825016079
46,832;0,825016079
25,806;0,784188624
28,013;0,784188624
54,122;0,784188624
57,94;0,784188624
54,627;0,784188624
58,536;0,784188624
56,433;0,784188624
61,255;0,784188624
59,017;0,784188624
57,935;0,784188624
54,299;0,784188624
58,831;0,784188624
